allocation,method,frequency,portfolio_size,final_return,sharpe,max_drawdown,total_costs
"(0.8, 0.2)",markowitz,weekly,1.0e6,0.41987203797362493,0.6162188457224325,-0.2667691288332694,291122.3678023724
"(0.8, 0.2)",markowitz,biweekly,10000.0,0.5377937542605677,0.7337466410636146,-0.2130315469213666,2701.246218301096
"(0.8, 0.2)",markowitz,biweekly,100000.0,0.5965672872105094,0.7907642528373279,-0.20852253392532838,22900.11663361961
"(0.8, 0.2)",markowitz,biweekly,1.0e6,0.5767062958494327,0.7717526088745619,-0.2125947856307625,244137.46048833927
"(0.8, 0.2)",markowitz,monthly,10000.0,0.5495995666959101,0.7397690915680546,-0.18929339098694664,2358.2578290967776
"(0.8, 0.2)",markowitz,monthly,100000.0,0.5771331864464768,0.7657587136543466,-0.186957162590476,21699.269070060545
"(0.8, 0.2)",markowitz,monthly,1.0e6,0.561314825627993,0.7505180750877576,-0.1895787590057071,228428.6286213492
"(0.8, 0.2)",black_litterman,daily,10000.0,-0.15846804125026714,-0.2391412453435818,-0.27030303791564103,6814.345236147201
"(0.8, 0.2)",black_litterman,daily,100000.0,0.5848016783989523,0.8995363192983878,-0.15026226154122335,15504.740877731785
"(0.8, 0.2)",black_litterman,daily,1.0e6,0.658497529625929,0.9817044628106621,-0.14892540867378135,102807.07751127226
"(0.8, 0.2)",black_litterman,weekly,10000.0,0.5356212128552322,0.8402201934237064,-0.15072986392985688,1841.897774425923
"(0.8, 0.2)",black_litterman,weekly,100000.0,0.686314115830859,1.0089610855399624,-0.14792255008032507,7688.555856335109
"(0.8, 0.2)",black_litterman,weekly,1.0e6,0.7008502703186132,1.024825722179482,-0.14766452532845153,66482.75735602659
"(0.8, 0.2)",black_litterman,biweekly,10000.0,0.6320745605428078,0.9499547743123518,-0.14785975647551164,1117.372885260145
"(0.8, 0.2)",black_litterman,biweekly,100000.0,0.7076864194148889,1.0322384107076048,-0.1466698231010416,5766.778905020129
"(0.8, 0.2)",black_litterman,biweekly,1.0e6,0.714722704666847,1.040096829389305,-0.1465577361316721,52572.82418859966
"(0.8, 0.2)",black_litterman,monthly,10000.0,0.681669839929026,1.0059602596162756,-0.14657998560601548,735.733121261956
"(0.8, 0.2)",black_litterman,monthly,100000.0,0.7180839263124623,1.0440077976621467,-0.14614630170118614,4723.636950843695
"(0.8, 0.2)",black_litterman,monthly,1.0e6,0.7212059865831397,1.0475945412066872,-0.14610756316909357,44909.40057986745
"(0.8, 0.2)",risk_parity,daily,10000.0,-0.43630589603381154,-2.018456329764947,-0.43821190037997027,6403.948296574012
"(0.8, 0.2)",risk_parity,daily,100000.0,0.18268163509831248,0.6405760712000795,-0.07720668501258121,10336.635837511103
"(0.8, 0.2)",risk_parity,daily,1.0e6,0.2439586347850129,0.8233105793634445,-0.07374264550917986,50157.43634304409
"(0.8, 0.2)",risk_parity,weekly,10000.0,0.12319436709893838,0.4527716981238032,-0.08297965650694572,1511.9644270562146
"(0.8, 0.2)",risk_parity,weekly,100000.0,0.2473900414526946,0.8275786181352549,-0.07368622378872736,4312.012211296314
"(0.8, 0.2)",risk_parity,weekly,1.0e6,0.25926702306419735,0.8628376502479309,-0.07298976197445395,32734.42818477931
"(0.8, 0.2)",risk_parity,biweekly,10000.0,0.19549089965574895,0.6745597791855468,-0.07680098343542918,873.5875976267589
"(0.8, 0.2)",risk_parity,biweekly,100000.0,0.2575907839700624,0.8564457246779872,-0.07324828868094613,3327.114014219887
"(0.8, 0.2)",risk_parity,biweekly,1.0e6,0.263261062607435,0.8739671182537087,-0.0728996360634605,28275.96804261874
"(0.8, 0.2)",risk_parity,monthly,10000.0,0.23319252563037263,0.7875511742228681,-0.07422463607273189,539.5989693275728
"(0.8, 0.2)",risk_parity,monthly,100000.0,0.2631606590684632,0.8721201931498669,-0.07269751432825156,2774.1999058263373
"(0.8, 0.2)",risk_parity,monthly,1.0e6,0.26560675119942,0.880204622474805,-0.07254743192685431,25535.94299670683
"(0.6, 0.4)",buy_hold,none,10000.0,0.6554746287734419,1.0984153719798582,-0.12061806121745033,12.36431676725155
"(0.6, 0.4)",buy_hold,none,100000.0,0.6562391196364603,1.0984153719798584,-0.12061806121745045,77.52070774304339
"(0.6, 0.4)",buy_hold,none,1.0e6,0.6559157206343631,1.098415371979856,-0.12061806121745033,970.3167672515498
"(0.7, 0.3)",buy_hold,none,10000.0,0.7456073861307031,1.1020286296204258,-0.137507732289481,12.336966602976151
"(0.7, 0.3)",buy_hold,none,100000.0,0.7464238337328646,1.1020286296204236,-0.13750773228948077,76.65581960814313
"(0.7, 0.3)",buy_hold,none,1.0e6,0.746115513541223,1.1020286296204262,-0.137507732289481,942.9666029761524
"(0.8, 0.2)",buy_hold,none,10000.0,0.8357380498449283,1.102748765448952,-0.15334094814114396,12.323692890932126
"(0.8, 0.2)",buy_hold,none,100000.0,0.8366019271486669,1.102748765448956,-0.15334094814114385,76.23606797749979
"(0.8, 0.2)",buy_hold,none,1.0e6,0.8362943700177183,1.1027487654489498,-0.15334094814114396,929.6928909321251
